Date,Description,Amount
2024-01-15,Netflix,-15.99
2024-02-15,Netflix,-15.99
2024-03-15,Netflix,-15.99
2024-01-01,Spotify,-9.99
2024-02-01,Spotify,-9.99
2024-03-01,Spotify,-9.99
2024-01-20,Amazon Prime,-14.99
2024-02-20,Amazon Prime,-14.99
2024-03-20,Amazon Prime,-14.99
2024-01-05,Gym Membership,-49.99
2024-02-05,Gym Membership,-49.99
2024-03-05,Gym Membership,-49.99
2024-01-10,Grocery Store,-87.45
2024-02-14,Coffee Shop,-4.50
2024-01-25,Restaurant Bill,-32.00
2024-02-18,Adobe Creative,-54.99
2024-03-18,Adobe Creative,-54.99
2024-01-18,Adobe Creative,-54.99
2024-01-12,Internet Bill,-79.99
2024-02-12,Internet Bill,-79.99
2024-03-12,Internet Bill,-79.99
