Date,Description,Amount
2024-01-01,Opening Balance Salary Credit,85000
2024-01-02,Zomato Food Delivery,-450
2024-01-03,Airtel Broadband Internet Bill,-999
2024-01-04,Swiggy Food Order,-380
2024-01-05,Amazon Shopping Order,-1299
2024-01-06,Netflix Subscription,-649
2024-01-07,Uber Cab Ride,-220
2024-01-08,Zomato Food Delivery,-520
2024-01-10,Spotify Premium,-119
2024-01-11,Starbucks Coffee,-480
2024-01-12,Apollo Pharmacy Medicine,-850
2024-01-13,Jio Mobile Recharge,-299
2024-01-14,Swiggy Instamart,-640
2024-01-15,Amazon Prime Subscription,-1499
2024-01-16,Uber Cab Ride,-180
2024-01-17,Zomato Food Delivery,-390
2024-01-18,Cult Fit Gym Membership,-2000
2024-01-19,IRCTC Train Ticket,-1450
2024-01-20,Flipkart Shopping,-2199
2024-01-21,Dominos Pizza,-599
2024-01-22,Adobe Creative Cloud,-4762
2024-01-23,Uber Cab Ride,-260
2024-01-24,Medplus Pharmacy,-430
2024-01-25,Myntra Clothing,-1899
2024-01-26,Zomato Food Delivery,-310
2024-01-27,Electricity Bill Payment,-1800
2024-01-28,Swiggy Food Order,-490
2024-01-29,YouTube Premium,-189
2024-01-30,KFC Dinner,-650
2024-01-31,Freelance Payment Received,12000
2024-02-01,Salary Credit February,85000
2024-02-02,Zomato Food Delivery,-410
2024-02-03,Airtel Broadband Internet Bill,-999
2024-02-04,Swiggy Food Order,-350
2024-02-05,Netflix Subscription,-649
2024-02-06,Uber Cab Ride,-190
2024-02-07,Amazon Shopping,-899
2024-02-08,Spotify Premium,-119
2024-02-09,Starbucks Coffee,-460
2024-02-10,Jio Mobile Recharge,-299
2024-02-11,Zomato Food Delivery,-570
2024-02-12,Cult Fit Gym Membership,-2000
2024-02-13,Swiggy Instamart,-720
2024-02-14,Amazon Prime Subscription,-1499
2024-02-15,Uber Cab Ride,-240
2024-02-16,Doctor Consultation Clinic,-800
2024-02-17,Adobe Creative Cloud,-4762
2024-02-18,Flipkart Electronics,-3499
2024-02-19,Zomato Food Delivery,-480
2024-02-20,IRCTC Train Ticket,-890
2024-02-21,YouTube Premium,-189
2024-02-22,McDonalds Dinner,-540
2024-02-23,Electricity Bill Payment,-1950
2024-02-24,Myntra Shopping,-1299
2024-02-25,Uber Cab Ride,-210
2024-02-26,Swiggy Food Order,-420
2024-02-27,Medplus Pharmacy,-560
2024-02-28,Rapido Bike Ride,-80
2024-03-01,Salary Credit March,85000
2024-03-02,Zomato Food Delivery,-390
2024-03-03,Airtel Broadband Internet Bill,-999
2024-03-04,Netflix Subscription,-649
2024-03-05,Uber Cab Ride,-200
2024-03-06,Swiggy Food Order,-460
2024-03-07,Spotify Premium,-119
2024-03-08,Amazon Shopping,-1599
2024-03-09,Starbucks Coffee,-490
2024-03-10,Jio Mobile Recharge,-299
2024-03-11,Cult Fit Gym Membership,-2000
2024-03-12,Zomato Food Delivery,-430
2024-03-13,Amazon Prime Subscription,-1499
2024-03-14,Adobe Creative Cloud,-4762
2024-03-15,Swiggy Instamart,-680
2024-03-16,Flipkart Shopping,-2799
2024-03-17,Uber Cab Ride,-170
2024-03-18,Apollo Pharmacy,-390
2024-03-19,YouTube Premium,-189
2024-03-20,KFC Lunch,-480
2024-03-21,Electricity Bill Payment,-1750
2024-03-22,Zomato Food Delivery,-510
2024-03-23,Myntra Clothing,-2199
2024-03-24,Rapido Bike Ride,-95
2024-03-25,Uber Cab Ride,-230
2024-03-26,Swiggy Food Order,-370
2024-03-27,Dominos Pizza,-649
2024-03-28,Freelance Payment Received,18000
2024-03-29,Doctor Dental Clinic,-1200
2024-03-30,Amazon Shopping,-999
2024-03-31,Uber Cab Ride,-150
