Date,Description,Amount
01/01/2025,NEFT CR-ICICI0002345-SALARY JAN 2025-ACCENTURE SOLUTIONS PVT LTD,58000
01/01/2025,NACH DR-ICICI HOME LOAN EMI JAN2025,-15500
02/01/2025,UPI/BLINKIT/Grocery Order/blinkit@ybl,-1340
03/01/2025,NACH DR-JIO MOBILE RECHARGE JAN2025,-299
04/01/2025,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-410
05/01/2025,BBPS DR-BESCOM ELECTRICITY BILL JAN2025,-1620
06/01/2025,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-199
07/01/2025,UPI/UBER INDIA/Cab Ride/uber@okaxis,-220
08/01/2025,POS TXN-RELIANCE FRESH KORAMANGALA BENGALURU,-1780
09/01/2025,UPI/SWIGGY/Food Delivery/swiggy@paytm,-380
10/01/2025,NACH DR-AIRTEL BROADBAND BILL JAN2025,-999
12/01/2025,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
13/01/2025,UPI/AMAZON PAY/Shopping/amazon@apl,-2199
14/01/2025,UPI/OLA/Cab Ride/ola@okicici,-185
15/01/2025,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-460
16/01/2025,UPI/APOLLO PHARMACY/Medicine/apollo@okhdfc,-390
17/01/2025,POS TXN-INDIAN OIL PETROL PUMP WHITEFIELD,-1800
18/01/2025,UPI/SWIGGY/Food Delivery/swiggy@paytm,-330
19/01/2025,NACH DR-YOUTUBE PREMIUM MONTHLY JAN2025,-189
20/01/2025,POS TXN-DMART MARATHAHALLI BENGALURU,-2450
22/01/2025,UPI/UBER INDIA/Cab Ride/uber@okaxis,-240
24/01/2025,NEFT CR-HDFC0004321-FREELANCE PAYMENT-TECHSTART,12000
25/01/2025,UPI/CULT FIT/Gym Membership JAN/cultfit@okicici,-1800
26/01/2025,UPI/MYNTRA/Fashion Order/myntra@ybl,-1299
28/01/2025,NACH DR-LIC PREMIUM JAN2025,-3200
29/01/2025,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-520
30/01/2025,UPI/OLA/Cab Ride/ola@okicici,-175
31/01/2025,BBPS DR-BANGALORE WATER SUPPLY BILL JAN2025,-480
01/02/2025,NEFT CR-ICICI0002345-SALARY FEB 2025-ACCENTURE SOLUTIONS PVT LTD,58000
01/02/2025,NACH DR-ICICI HOME LOAN EMI FEB2025,-15500
02/02/2025,UPI/BLINKIT/Grocery Order/blinkit@ybl,-1120
03/02/2025,NACH DR-JIO MOBILE RECHARGE FEB2025,-299
05/02/2025,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-370
05/02/2025,BBPS DR-BESCOM ELECTRICITY BILL FEB2025,-1490
06/02/2025,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-199
08/02/2025,UPI/UBER INDIA/Cab Ride/uber@okaxis,-195
09/02/2025,POS TXN-MORE SUPERMARKET INDIRANAGAR BENGALURU,-1650
10/02/2025,UPI/SWIGGY/Food Delivery/swiggy@paytm,-290
10/02/2025,NACH DR-AIRTEL BROADBAND BILL FEB2025,-999
12/02/2025,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
14/02/2025,UPI/AMAZON PAY/Shopping/amazon@apl,-899
14/02/2025,POS TXN-SHOPPERS STOP BRIGADE ROAD BENGALURU,-2800
15/02/2025,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-680
17/02/2025,POS TXN-INDIAN OIL PETROL PUMP WHITEFIELD,-1800
18/02/2025,UPI/SWIGGY/Food Delivery/swiggy@paytm,-350
19/02/2025,NACH DR-YOUTUBE PREMIUM MONTHLY FEB2025,-189
20/02/2025,POS TXN-DMART MARATHAHALLI BENGALURU,-2100
21/02/2025,UPI/UBER INDIA/Cab Ride/uber@okaxis,-210
22/02/2025,UPI/OLA/Cab Ride/ola@okicici,-190
24/02/2025,UPI/CULT FIT/Gym Membership FEB/cultfit@okicici,-1800
25/02/2025,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-440
27/02/2025,UPI/MEDPLUS/Medicine/medplus@ybl,-620
28/02/2025,BBPS DR-BANGALORE WATER SUPPLY BILL FEB2025,-480
01/03/2025,NEFT CR-ICICI0002345-SALARY MAR 2025-ACCENTURE SOLUTIONS PVT LTD,58000
01/03/2025,NACH DR-ICICI HOME LOAN EMI MAR2025,-15500
02/03/2025,UPI/BLINKIT/Grocery Order/blinkit@ybl,-1580
03/03/2025,NACH DR-JIO MOBILE RECHARGE MAR2025,-299
04/03/2025,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-390
05/03/2025,BBPS DR-BESCOM ELECTRICITY BILL MAR2025,-1550
06/03/2025,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-199
07/03/2025,UPI/UBER INDIA/Cab Ride/uber@okaxis,-230
08/03/2025,POS TXN-RELIANCE FRESH KORAMANGALA BENGALURU,-1920
10/03/2025,UPI/SWIGGY/Food Delivery/swiggy@paytm,-420
10/03/2025,NACH DR-AIRTEL BROADBAND BILL MAR2025,-999
11/03/2025,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
12/03/2025,NEFT CR-HDFC0004321-FREELANCE PAYMENT-TECHSTART,9500
13/03/2025,UPI/AMAZON PAY/Shopping/amazon@apl,-1599
15/03/2025,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-510
16/03/2025,UPI/APOLLO PHARMACY/Medicine/apollo@okhdfc,-340
17/03/2025,POS TXN-INDIAN OIL PETROL PUMP WHITEFIELD,-1800
18/03/2025,UPI/SWIGGY/Food Delivery/swiggy@paytm,-310
19/03/2025,NACH DR-YOUTUBE PREMIUM MONTHLY MAR2025,-189
20/03/2025,POS TXN-DMART MARATHAHALLI BENGALURU,-2680
21/03/2025,UPI/UBER INDIA/Cab Ride/uber@okaxis,-200
22/03/2025,UPI/OLA/Cab Ride/ola@okicici,-165
24/03/2025,UPI/CULT FIT/Gym Membership MAR/cultfit@okicici,-1800
25/03/2025,UPI/AJIO/Fashion Order/ajio@ybl,-1899
27/03/2025,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-480
28/03/2025,NACH DR-LIC PREMIUM MAR2025,-3200
29/03/2025,UPI/MEDPLUS/Medicine/medplus@ybl,-290
31/03/2025,BBPS DR-BANGALORE WATER SUPPLY BILL MAR2025,-480
