Date,Description,Amount
01/01/2025,NEFT CR-SBI0001234-SALARY JAN 2025-WIPRO TECHNOLOGIES LTD,52000
01/01/2025,NACH DR-SBI HOME LOAN EMI JAN2025,-14200
02/01/2025,UPI/BLINKIT/Grocery Order/blinkit@ybl,-1180
03/01/2025,NACH DR-JIO MOBILE RECHARGE JAN2025,-299
04/01/2025,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-360
05/01/2025,BBPS DR-TATA POWER ELECTRICITY BILL JAN2025,-1380
06/01/2025,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-199
07/01/2025,UPI/UBER INDIA/Cab Ride/uber@okaxis,-175
08/01/2025,POS TXN-RELIANCE FRESH ANDHERI MUMBAI,-1540
09/01/2025,UPI/SWIGGY/Food Delivery/swiggy@paytm,-310
10/01/2025,NACH DR-AIRTEL BROADBAND BILL JAN2025,-799
11/01/2025,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
13/01/2025,UPI/AMAZON PAY/Shopping Order/amazon@apl,-1199
14/01/2025,UPI/OLA/Cab Ride/ola@okicici,-210
15/01/2025,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-420
16/01/2025,UPI/APOLLO PHARMACY/Medicine/apollo@okhdfc,-480
17/01/2025,POS TXN-HP PETROL PUMP ANDHERI EAST,-1500
18/01/2025,UPI/SWIGGY/Food Delivery/swiggy@paytm,-270
19/01/2025,NACH DR-AMAZON PRIME MONTHLY JAN2025,-299
20/01/2025,POS TXN-DMART MALAD WEST MUMBAI,-2180
21/01/2025,UPI/UBER INDIA/Cab Ride/uber@okaxis,-195
22/01/2025,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-490
24/01/2025,NEFT CR-AXIS0007890-FREELANCE PAYMENT-DIGITALSTUDIO,8500
25/01/2025,UPI/MYNTRA/Fashion Order/myntra@ybl,-1499
27/01/2025,UPI/SWIGGY/Grocery Delivery/swiggy@paytm,-720
28/01/2025,NACH DR-LIC PREMIUM JAN2025,-2500
29/01/2025,UPI/OLA/Cab Ride/ola@okicici,-160
31/01/2025,BBPS DR-MAHANAGAR GAS BILL JAN2025,-650
