Date,Description,Amount
01/04/2024,NEFT CR-HDFC0001234-SALARY APRIL 2024-TECHCORP INDIA PVT LTD,92000
01/04/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-480
02/04/2024,ECS DR-HDFC ERGO HEALTH INSURANCE PREMIUM,-2100
02/04/2024,UPI/SWIGGY/Grocery Delivery/swiggy@paytm,-620
03/04/2024,NACH DR-AIRTEL BROADBAND BILL APR2024,-999
03/04/2024,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-649
04/04/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-230
04/04/2024,UPI/BLINKIT/Grocery Order/blinkit@ybl,-880
05/04/2024,POS TXN-RELIANCE FRESH KORAMANGALA BENGALURU,-1240
06/04/2024,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
07/04/2024,UPI/AMAZON PAY/Shopping Order/amazon@apl,-1899
07/04/2024,NACH DR-JIO MOBILE RECHARGE APR2024,-299
08/04/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-560
09/04/2024,POS TXN-APOLLO PHARMACY INDIRANAGAR,-740
10/04/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-420
10/04/2024,NACH DR-YOUTUBE PREMIUM MONTHLY,-189
11/04/2024,UPI/CULT FIT/Gym Membership APR/cultfit@okicici,-2000
12/04/2024,NEFT CR-ICICI0004567-FREELANCE PAYMENT-DESIGNSTUDIO,-15000
12/04/2024,UPI/ADOBE SYSTEMS/Creative Cloud/adobe@okhdfc,-4762
13/04/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-195
14/04/2024,UPI/MYNTRA/Fashion Order/myntra@ybl,-2199
15/04/2024,NACH DR-HDFC HOME LOAN EMI APR2024,-18500
15/04/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-390
16/04/2024,POS TXN-DMart WHITEFIELD BENGALURU,-2870
17/04/2024,UPI/STARBUCKS INDIA/Coffee/starbucks@okaxis,-540
18/04/2024,NACH DR-AMAZON PRIME MONTHLY APR2024,-1499
18/04/2024,UPI/OLA/Cab Ride/ola@okicici,-180
19/04/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-510
20/04/2024,BBPS DR-BESCOM ELECTRICITY BILL APR2024,-1650
20/04/2024,UPI/FLIPKART/Electronics Order/flipkart@ybl,-3499
21/04/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-340
22/04/2024,UPI/RAPIDO/Bike Ride/rapido@okaxis,-80
23/04/2024,POS TXN-MEDPLUS PHARMACY HSR LAYOUT,-490
24/04/2024,UPI/DOMINOS PIZZA/Order/dominos@okicici,-649
25/04/2024,NACH DR-SLACK TECHNOLOGIES PRO PLAN,-750
26/04/2024,UPI/IRCTC/Train Ticket BLR-MUM/irctc@okhdfc,-1840
26/04/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-380
27/04/2024,NACH DR-ZOOM VIDEO MONTHLY SUBSCRIPTION,-1349
28/04/2024,UPI/BIGBASKET/Grocery Order/bigbasket@okaxis,-1120
29/04/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-260
30/04/2024,UPI/KFC INDIA/Dinner Order/kfc@okicici,-580
01/05/2024,NEFT CR-HDFC0001234-SALARY MAY 2024-TECHCORP INDIA PVT LTD,92000
01/05/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-450
02/05/2024,NACH DR-AIRTEL BROADBAND BILL MAY2024,-999
02/05/2024,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-649
03/05/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-490
03/05/2024,NACH DR-JIO MOBILE RECHARGE MAY2024,-299
04/05/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-210
05/05/2024,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
06/05/2024,NACH DR-YOUTUBE PREMIUM MONTHLY,-189
06/05/2024,UPI/CULT FIT/Gym Membership MAY/cultfit@okicici,-2000
07/05/2024,NACH DR-AMAZON PRIME MONTHLY MAY2024,-1499
07/05/2024,UPI/ADOBE SYSTEMS/Creative Cloud/adobe@okhdfc,-4762
08/05/2024,POS TXN-RELIANCE FRESH KORAMANGALA BENGALURU,-1580
08/05/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-520
09/05/2024,UPI/AMAZON PAY/Shopping Order/amazon@apl,-2499
10/05/2024,BBPS DR-BESCOM ELECTRICITY BILL MAY2024,-1820
10/05/2024,UPI/SWIGGY/Grocery Delivery/swiggy@paytm,-740
11/05/2024,POS TXN-APOLLO PHARMACY INDIRANAGAR,-320
12/05/2024,NEFT CR-AXIS0007890-FREELANCE PROJECT MILESTONE,-22000
12/05/2024,UPI/MYNTRA/Clothing Order/myntra@ybl,-1699
13/05/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-245
14/05/2024,UPI/STARBUCKS INDIA/Coffee/starbucks@okaxis,-480
14/05/2024,NACH DR-HDFC HOME LOAN EMI MAY2024,-18500
15/05/2024,UPI/FLIPKART/Shopping Order/flipkart@ybl,-1299
