Date,Description,Amount
2024-01-01,Direct Deposit Salary,6500
2024-01-02,Netflix Subscription,-15.99
2024-01-03,Spotify Premium,-9.99
2024-01-04,Whole Foods Grocery,-87.43
2024-01-05,Amazon Prime Monthly,-14.99
2024-01-06,Comcast Internet Bill,-89.99
2024-01-07,Starbucks Coffee,-6.75
2024-01-08,Hulu Subscription,-17.99
2024-01-09,AT&T Wireless Bill,-65.00
2024-01-10,Uber Ride,-18.50
2024-01-11,Planet Fitness Membership,-24.99
2024-01-12,Chipotle Lunch,-13.25
2024-01-13,Adobe Creative Cloud,-54.99
2024-01-14,Trader Joes Grocery,-64.20
2024-01-15,Venmo Transfer Rent,-1800.00
2024-01-16,YouTube Premium,-13.99
2024-01-17,DoorDash Food Delivery,-32.50
2024-01-18,Chase Credit Card Payment,-450.00
2024-01-19,Disney Plus Subscription,-10.99
2024-01-20,Costco Membership Annual,-65.00
2024-01-21,Lyft Ride,-22.75
2024-01-22,Target Shopping,-54.32
2024-01-23,Apple iCloud Storage,-2.99
2024-01-24,CVS Pharmacy,-28.60
2024-01-25,Microsoft 365,-9.99
2024-01-26,Duolingo Plus,-6.99
2024-01-27,Electricity Bill Con Edison,-92.15
2024-01-28,Gas Station BP,-48.00
2024-01-29,Amazon Shopping,-67.99
2024-01-30,Grubhub Delivery,-41.25
2024-01-31,Freelance Side Income,1200.00
2024-02-01,Direct Deposit Salary,6500
2024-02-02,Netflix Subscription,-15.99
2024-02-03,Spotify Premium,-9.99
2024-02-04,Whole Foods Grocery,-92.18
2024-02-05,Comcast Internet Bill,-89.99
2024-02-06,AT&T Wireless Bill,-65.00
2024-02-07,Amazon Prime Monthly,-14.99
2024-02-08,Starbucks Coffee,-7.25
2024-02-09,Hulu Subscription,-17.99
2024-02-10,Planet Fitness Membership,-24.99
2024-02-11,Uber Ride,-15.25
2024-02-12,Adobe Creative Cloud,-54.99
2024-02-13,Venmo Transfer Rent,-1800.00
2024-02-14,Valentines Dinner Restaurant,-85.00
2024-02-15,YouTube Premium,-13.99
2024-02-16,Disney Plus Subscription,-10.99
2024-02-17,Trader Joes Grocery,-71.40
2024-02-18,DoorDash Food Delivery,-28.75
2024-02-19,Apple iCloud Storage,-2.99
2024-02-20,Microsoft 365,-9.99
2024-02-21,Lyft Ride,-19.50
2024-02-22,Amazon Shopping,-124.99
2024-02-23,Electricity Bill Con Edison,-88.40
2024-02-24,Gas Station Shell,-52.00
2024-02-25,CVS Pharmacy,-18.45
2024-02-26,Duolingo Plus,-6.99
2024-02-27,Target Shopping,-76.83
2024-02-28,Grubhub Delivery,-37.50
2024-03-01,Direct Deposit Salary,6500
2024-03-02,Netflix Subscription,-15.99
2024-03-03,Spotify Premium,-9.99
2024-03-04,Whole Foods Grocery,-79.55
2024-03-05,Comcast Internet Bill,-89.99
2024-03-06,AT&T Wireless Bill,-65.00
2024-03-07,Amazon Prime Monthly,-14.99
2024-03-08,Starbucks Coffee,-8.50
2024-03-09,Hulu Subscription,-17.99
2024-03-10,Planet Fitness Membership,-24.99
2024-03-11,Adobe Creative Cloud,-54.99
2024-03-12,Venmo Transfer Rent,-1800.00
2024-03-13,Uber Ride,-24.00
2024-03-14,YouTube Premium,-13.99
2024-03-15,Disney Plus Subscription,-10.99
2024-03-16,Trader Joes Grocery,-68.90
2024-03-17,Apple iCloud Storage,-2.99
2024-03-18,Microsoft 365,-9.99
2024-03-19,DoorDash Food Delivery,-45.20
2024-03-20,Amazon Shopping,-89.47
2024-03-21,Electricity Bill Con Edison,-95.60
2024-03-22,Gas Station BP,-44.00
2024-03-23,Duolingo Plus,-6.99
2024-03-24,Lyft Ride,-31.25
2024-03-25,Target Shopping,-43.16
2024-03-26,CVS Pharmacy,-34.20
2024-03-27,Grubhub Delivery,-52.75
2024-03-28,Freelance Side Income,800.00
2024-03-29,REI Online Shopping,-112.00
2024-03-30,Chase Credit Card Payment,-380.00
2024-03-31,Paramount Plus,-5.99
