Date,Description,Amount
2024-01-01,Client Payment Project Alpha,45000
2024-01-02,Figma Professional Plan,-1500
2024-01-03,Notion Team Plan,-800
2024-01-04,Zomato Food Delivery,-380
2024-01-05,Adobe Creative Cloud,-4762
2024-01-06,Airtel Broadband Bill,-999
2024-01-07,Slack Pro Subscription,-750
2024-01-08,Zoom Pro Monthly,-1349
2024-01-09,Swiggy Food Order,-420
2024-01-10,GitHub Pro,-450
2024-01-11,Jio Mobile Recharge,-299
2024-01-12,Grammarly Premium,-1670
2024-01-13,Uber Cab Ride,-190
2024-01-14,NordVPN Subscription,-349
2024-01-15,Netflix Subscription,-649
2024-01-16,Spotify Premium,-119
2024-01-17,Zomato Food Delivery,-510
2024-01-18,Loom Pro,-899
2024-01-19,Electricity Bill,-1650
2024-01-20,Swiggy Instamart,-590
2024-01-21,Dropbox Plus,-1200
2024-01-22,LinkedIn Premium,-2599
2024-01-23,Uber Cab Ride,-240
2024-01-24,Trello Premium,-500
2024-01-25,YouTube Premium,-189
2024-01-26,Zomato Food Delivery,-345
2024-01-27,Apollo Pharmacy,-280
2024-01-28,Canva Pro,-499
2024-01-29,Swiggy Food Order,-460
2024-01-30,1Password Teams,-650
2024-01-31,Client Payment Project Beta,18000
2024-02-01,Figma Professional Plan,-1500
2024-02-02,Notion Team Plan,-800
2024-02-03,Airtel Broadband Bill,-999
2024-02-04,Adobe Creative Cloud,-4762
2024-02-05,Zomato Food Delivery,-390
2024-02-06,Slack Pro Subscription,-750
2024-02-07,Zoom Pro Monthly,-1349
2024-02-08,Jio Mobile Recharge,-299
2024-02-09,Swiggy Food Order,-480
2024-02-10,GitHub Pro,-450
2024-02-11,Grammarly Premium,-1670
2024-02-12,Uber Cab Ride,-175
2024-02-13,NordVPN Subscription,-349
2024-02-14,Netflix Subscription,-649
2024-02-15,Spotify Premium,-119
2024-02-16,Loom Pro,-899
2024-02-17,Client Payment Project Alpha,15000
2024-02-18,Zomato Food Delivery,-430
2024-02-19,Dropbox Plus,-1200
2024-02-20,Electricity Bill,-1720
2024-02-21,Swiggy Instamart,-650
2024-02-22,LinkedIn Premium,-2599
2024-02-23,Uber Cab Ride,-210
2024-02-24,YouTube Premium,-189
2024-02-25,Trello Premium,-500
2024-02-26,Canva Pro,-499
2024-02-27,Swiggy Food Order,-370
2024-02-28,1Password Teams,-650
2024-03-01,Client Payment New Project,55000
2024-03-02,Figma Professional Plan,-1500
2024-03-03,Notion Team Plan,-800
2024-03-04,Airtel Broadband Bill,-999
2024-03-05,Adobe Creative Cloud,-4762
2024-03-06,Zomato Food Delivery,-410
2024-03-07,Slack Pro Subscription,-750
2024-03-08,Zoom Pro Monthly,-1349
2024-03-09,Jio Mobile Recharge,-299
2024-03-10,GitHub Pro,-450
2024-03-11,Grammarly Premium,-1670
2024-03-12,Swiggy Food Order,-520
2024-03-13,Uber Cab Ride,-220
2024-03-14,NordVPN Subscription,-349
2024-03-15,Netflix Subscription,-649
2024-03-16,Spotify Premium,-119
2024-03-17,Loom Pro,-899
2024-03-18,Dropbox Plus,-1200
2024-03-19,Zomato Food Delivery,-470
2024-03-20,LinkedIn Premium,-2599
2024-03-21,Electricity Bill,-1580
2024-03-22,Swiggy Instamart,-710
2024-03-23,YouTube Premium,-189
2024-03-24,Trello Premium,-500
2024-03-25,Canva Pro,-499
2024-03-26,Uber Cab Ride,-195
2024-03-27,Swiggy Food Order,-395
2024-03-28,1Password Teams,-650
2024-03-29,Medplus Pharmacy,-340
2024-03-30,Client Referral Bonus,8000
2024-03-31,Zomato Food Delivery,-355
