Date,Description,Amount
01/01/2024,NEFT CR-AXIS0003456-SALARY JAN 2024-HCL TECHNOLOGIES LTD,46000
01/01/2024,NACH DR-AXIS PERSONAL LOAN EMI JAN2024,-8500
02/01/2024,UPI/BLINKIT/Grocery Order/blinkit@ybl,-980
03/01/2024,NACH DR-JIO MOBILE RECHARGE JAN2024,-239
04/01/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-320
05/01/2024,BBPS DR-TPDDL ELECTRICITY BILL JAN2024,-1240
06/01/2024,NACH DR-AIRTEL BROADBAND BILL JAN2024,-799
08/01/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-280
09/01/2024,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-199
10/01/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-165
12/01/2024,POS TXN-RELIANCE FRESH ROHINI DELHI,-1420
14/01/2024,UPI/AMAZON PAY/Shopping/amazon@apl,-1099
15/01/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-380
17/01/2024,POS TXN-HP PETROL PUMP PITAMPURA DELHI,-1500
18/01/2024,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
20/01/2024,POS TXN-DMART ROHINI DELHI,-1980
22/01/2024,UPI/OLA/Cab Ride/ola@okicici,-150
24/01/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-260
25/01/2024,NACH DR-LIC PREMIUM JAN2024,-2000
27/01/2024,UPI/APOLLO PHARMACY/Medicine/apollo@okhdfc,-350
29/01/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-410
31/01/2024,BBPS DR-DJB WATER BILL JAN2024,-380
01/02/2024,NEFT CR-AXIS0003456-SALARY FEB 2024-HCL TECHNOLOGIES LTD,46000
01/02/2024,NACH DR-AXIS PERSONAL LOAN EMI FEB2024,-8500
02/02/2024,UPI/BLINKIT/Grocery Order/blinkit@ybl,-1100
03/02/2024,NACH DR-JIO MOBILE RECHARGE FEB2024,-239
05/02/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-350
05/02/2024,BBPS DR-TPDDL ELECTRICITY BILL FEB2024,-1180
06/02/2024,NACH DR-AIRTEL BROADBAND BILL FEB2024,-799
08/02/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-310
09/02/2024,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-199
10/02/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-180
12/02/2024,POS TXN-RELIANCE FRESH ROHINI DELHI,-1560
14/02/2024,UPI/AMAZON PAY/Shopping/amazon@apl,-2499
15/02/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-590
17/02/2024,POS TXN-HP PETROL PUMP PITAMPURA DELHI,-1500
18/02/2024,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
20/02/2024,POS TXN-DMART ROHINI DELHI,-2100
22/02/2024,UPI/OLA/Cab Ride/ola@okicici,-170
23/02/2024,NEFT CR-ICICI0009876-FREELANCE PAYMENT-WEBAGENCY,7000
24/02/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-290
27/02/2024,UPI/MEDPLUS/Medicine/medplus@ybl,-480
29/02/2024,BBPS DR-DJB WATER BILL FEB2024,-380
01/03/2024,NEFT CR-AXIS0003456-SALARY MAR 2024-HCL TECHNOLOGIES LTD,46000
01/03/2024,NACH DR-AXIS PERSONAL LOAN EMI MAR2024,-8500
02/03/2024,UPI/BLINKIT/Grocery Order/blinkit@ybl,-1250
03/03/2024,NACH DR-JIO MOBILE RECHARGE MAR2024,-239
04/03/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-340
05/03/2024,BBPS DR-TPDDL ELECTRICITY BILL MAR2024,-1320
06/03/2024,NACH DR-AIRTEL BROADBAND BILL MAR2024,-799
08/03/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-330
09/03/2024,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-199
10/03/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-195
12/03/2024,POS TXN-MORE SUPERMARKET PITAMPURA DELHI,-1680
14/03/2024,UPI/MYNTRA/Fashion Order/myntra@ybl,-1799
15/03/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-460
17/03/2024,POS TXN-HP PETROL PUMP PITAMPURA DELHI,-1500
18/03/2024,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
20/03/2024,POS TXN-DMART ROHINI DELHI,-2350
22/03/2024,UPI/OLA/Cab Ride/ola@okicici,-160
24/03/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-270
25/03/2024,NACH DR-LIC PREMIUM MAR2024,-2000
27/03/2024,UPI/APOLLO PHARMACY/Medicine/apollo@okhdfc,-420
29/03/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-390
31/03/2024,BBPS DR-DJB WATER BILL MAR2024,-380
01/04/2024,NEFT CR-AXIS0003456-SALARY APR 2024-HCL TECHNOLOGIES LTD,46000
01/04/2024,NACH DR-AXIS PERSONAL LOAN EMI APR2024,-8500
02/04/2024,UPI/BLINKIT/Grocery Order/blinkit@ybl,-1080
03/04/2024,NACH DR-JIO MOBILE RECHARGE APR2024,-239
04/04/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-370
05/04/2024,BBPS DR-TPDDL ELECTRICITY BILL APR2024,-1450
06/04/2024,NACH DR-AIRTEL BROADBAND BILL APR2024,-799
08/04/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-300
09/04/2024,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-199
10/04/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-210
12/04/2024,POS TXN-RELIANCE FRESH ROHINI DELHI,-1590
14/04/2024,UPI/AMAZON PAY/Shopping/amazon@apl,-1349
15/04/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-430
17/04/2024,POS TXN-HP PETROL PUMP PITAMPURA DELHI,-1500
18/04/2024,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
20/04/2024,POS TXN-DMART ROHINI DELHI,-2200
21/04/2024,NEFT CR-ICICI0009876-FREELANCE PAYMENT-WEBAGENCY,7000
22/04/2024,UPI/OLA/Cab Ride/ola@okicici,-185
24/04/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-250
25/04/2024,UPI/MEDPLUS/Medicine/medplus@ybl,-290
27/04/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-500
30/04/2024,BBPS DR-DJB WATER BILL APR2024,-380
01/05/2024,NEFT CR-AXIS0003456-SALARY MAY 2024-HCL TECHNOLOGIES LTD,46000
01/05/2024,NACH DR-AXIS PERSONAL LOAN EMI MAY2024,-8500
02/05/2024,UPI/BLINKIT/Grocery Order/blinkit@ybl,-1320
03/05/2024,NACH DR-JIO MOBILE RECHARGE MAY2024,-239
05/05/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-410
05/05/2024,BBPS DR-TPDDL ELECTRICITY BILL MAY2024,-1680
06/05/2024,NACH DR-AIRTEL BROADBAND BILL MAY2024,-799
08/05/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-340
09/05/2024,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-199
10/05/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-200
12/05/2024,POS TXN-RELIANCE FRESH ROHINI DELHI,-1750
14/05/2024,UPI/AMAZON PAY/Shopping/amazon@apl,-899
15/05/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-480
17/05/2024,POS TXN-HP PETROL PUMP PITAMPURA DELHI,-1500
18/05/2024,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
20/05/2024,POS TXN-DMART ROHINI DELHI,-1890
22/05/2024,UPI/OLA/Cab Ride/ola@okicici,-175
24/05/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-310
26/05/2024,UPI/APOLLO PHARMACY/Medicine/apollo@okhdfc,-560
27/05/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-360
29/05/2024,NACH DR-LIC PREMIUM MAY2024,-2000
31/05/2024,BBPS DR-DJB WATER BILL MAY2024,-380
01/06/2024,NEFT CR-AXIS0003456-SALARY JUN 2024-HCL TECHNOLOGIES LTD,46000
01/06/2024,NACH DR-AXIS PERSONAL LOAN EMI JUN2024,-8500
02/06/2024,UPI/BLINKIT/Grocery Order/blinkit@ybl,-1140
03/06/2024,NACH DR-JIO MOBILE RECHARGE JUN2024,-239
04/06/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-390
05/06/2024,BBPS DR-TPDDL ELECTRICITY BILL JUN2024,-1820
06/06/2024,NACH DR-AIRTEL BROADBAND BILL JUN2024,-799
08/06/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-280
09/06/2024,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-199
10/06/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-220
12/06/2024,POS TXN-MORE SUPERMARKET PITAMPURA DELHI,-1600
13/06/2024,NEFT CR-ICICI0009876-FREELANCE PAYMENT-WEBAGENCY,7000
14/06/2024,UPI/AMAZON PAY/Shopping/amazon@apl,-1599
15/06/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-450
17/06/2024,POS TXN-HP PETROL PUMP PITAMPURA DELHI,-1500
18/06/2024,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
20/06/2024,POS TXN-DMART ROHINI DELHI,-2050
22/06/2024,UPI/OLA/Cab Ride/ola@okicici,-190
24/06/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-320
27/06/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-530
28/06/2024,UPI/MEDPLUS/Medicine/medplus@ybl,-380
30/06/2024,BBPS DR-DJB WATER BILL JUN2024,-380
01/07/2024,NEFT CR-AXIS0003456-SALARY JUL 2024-HCL TECHNOLOGIES LTD,46000
01/07/2024,NACH DR-AXIS PERSONAL LOAN EMI JUL2024,-8500
02/07/2024,UPI/BLINKIT/Grocery Order/blinkit@ybl,-1260
03/07/2024,NACH DR-JIO MOBILE RECHARGE JUL2024,-239
04/07/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-420
05/07/2024,BBPS DR-TPDDL ELECTRICITY BILL JUL2024,-1950
06/07/2024,NACH DR-AIRTEL BROADBAND BILL JUL2024,-799
08/07/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-350
09/07/2024,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-199
10/07/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-185
12/07/2024,POS TXN-RELIANCE FRESH ROHINI DELHI,-1680
14/07/2024,UPI/FLIPKART/Shopping/flipkart@ybl,-3299
15/07/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-470
17/07/2024,POS TXN-HP PETROL PUMP PITAMPURA DELHI,-1500
18/07/2024,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
20/07/2024,POS TXN-DMART ROHINI DELHI,-2300
22/07/2024,UPI/OLA/Cab Ride/ola@okicici,-200
24/07/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-290
25/07/2024,NACH DR-LIC PREMIUM JUL2024,-2000
27/07/2024,UPI/APOLLO PHARMACY/Medicine/apollo@okhdfc,-440
29/07/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-380
31/07/2024,BBPS DR-DJB WATER BILL JUL2024,-380
01/08/2024,NEFT CR-AXIS0003456-SALARY AUG 2024-HCL TECHNOLOGIES LTD,46000
01/08/2024,NACH DR-AXIS PERSONAL LOAN EMI AUG2024,-8500
02/08/2024,UPI/BLINKIT/Grocery Order/blinkit@ybl,-1190
03/08/2024,NACH DR-JIO MOBILE RECHARGE AUG2024,-239
05/08/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-360
